symbol,price,change_24h,volume,high_24h,low_24h,timestamp
ICX/USDT,0.1517,-0.979,16518.81844,0.1601,0.1435,2024-11-12 23:04:49
IOTA/USDT,0.1413,-5.988,17483.5214,0.1584,0.1362,2024-11-12 23:04:49
RVN/USDT,0.01897,-5.292,37870.147023,0.02151,0.01784,2024-11-12 23:04:49
WAVES/USDT,3.329,-1.158,27116.21059,3.592,3.196,2024-11-12 23:04:49
XNO/USDT,0.841,-8.587,10057.4084,0.942,0.805,2024-11-12 23:04:49
XTZ/USDT,0.709,-5.467,12679.7641,0.769,0.693,2024-11-12 23:04:49
ZIL/USDT,0.01721,-1.545,21813.132181,0.01855,0.01645,2024-11-12 23:04:49
ORBS/USDT,0.02753,0.365,36115.34006,0.02918,0.02613,2024-11-12 23:04:49
CUDOS/USDT,0.012201,13.667,3198.5585662,0.012216,0.010019,2024-11-12 23:04:49
ADX/USDT,0.174,-2.848,676.94,0.191,0.174,2024-11-12 23:04:49
FORT/USDT,0.101,-2.791,1069.6005,0.104,0.101,2024-11-12 23:04:49
SUI/USDT,2.949,-6.327,693629.79984,3.3316,2.8286,2024-11-12 23:04:49
ONG/USDT,0.318,-0.282,1233.3939,0.3508,0.2891,2024-11-12 23:04:49
G/USDT,0.02972,-8.526,9030.89211,0.03342,0.02967,2024-11-12 23:04:49
RENDER/USDT,6.632,-10.136,178580.19998,7.579,6.548,2024-11-12 23:04:49
